animal_id,lrid,tag,rfid,nlis,draft,sex,dob,sire,dam,weaned,tag_sorter,esi,overall_adg,current_adg,last_weight,last_weight_date,animal_group,modified
2451,0,14128,9.64001E+14,36US01201412092A,,Female,00:00.0,,12092,0,14128,,0.03,1,111,17:38.2,,32:21.5
2452,0,OR0319,9.64001E+14,36US01201412092B,,Wether,00:00.0,,12092,0,OR                           319,,0.17,0,119,56:13.5,,47:19.4
2453,0,14129,9.64001E+14,36US01201412095B,,Female,00:00.0,,12095,0,14129,,0.08,0.29,111,15:31.5,,15:38.2
2454,0,OR0297,9.64001E+14,36US01201412095A,,Wether,00:00.0,,12095,0,OR                           297,,0.17,0.43,124,46:37.0,,47:18.4
2455,0,OR0309,9.64001E+14,36US01201412097S,,Wether,00:00.0,10LYNX,12097,0,OR                           309,,,,81,24:24.7,,16:57.7
2456,0,14009,9.64001E+14,36US01201412099B,,Female,00:00.0,,12099,0,14009,,0.02,0.01,110,08:14.2,.,50:31.7
2457,0,OR0449,9.64001E+14,,,Wether,00:00.0,,12099,0,OR                           449,,0.17,0.26,89,21:23.6,,47:26.0
2458,0,OR0467,9.64001E+14,,,Wether,00:00.0,,12100,0,OR                           467,,0.24,5,90.5,17:10.5,,47:26.8
2459,0,14073,9.64001E+14,36US01201412100B,,Female,00:00.0,,12100,0,14073,,0.02,0.04,113,43:11.6,16th BRD GRP,56:27.8
2460,0,14005,9.64001E+14,36US01201412101A,,Female,00:00.0,,12101,0,14005,,0.08,0.14,110,26:07.9,,15:34.4
2461,0,OR0365,9.64001E+14,36US01201412101B,,Wether,00:00.0,,12101,0,OR                           365,,0.11,-0.28,95,23:39.2,,47:21.7
2462,0,14056,9.64001E+14,36US01201412103B,,Female,00:00.0,,12103,0,14056,,0.05,0,132,15:43.8,,05:07.5
2463,0,OR0335,9.64001E+14,36US01201412103A,,Wether,00:00.0,,12103,0,OR                           335,,0.04,-0.11,204,42:44.1,,47:20.1
2464,0,OR0513,9.64001E+14,36US01201412105A,,Wether,00:00.0,MRCHIP,12105,0,OR                           513,,0.17,0.83,89,25:25.2,,47:28.9
2465,0,14033,9.64001E+14,36US01201412105B,,Female,00:00.0,,12105,0,14033,,0.03,-0.07,139,49:38.3,.,56:21.9
2466,0,15143,9.64001E+14,,,Female,00:00.0,,12106,0,15143,,0.07,0.86,130,00:36.0,,32:23.7
2467,0,14123,9.64001E+14,36US01201412107A,,Female,00:00.0,11CAPR,12107,0,14123,,0.07,0.26,175,09:54.4,,27:42.7
2468,0,14021,9.64001E+14,36US01201412109S,,Female,00:00.0,,12109,0,14021,,0.02,-0.07,112,24:28.1,10th BRD GRP,08:32.3
2469,0,14067,9.64001E+14,36US01201412111S,,Female,00:00.0,,12111,0,14067,,0.07,1.25,184,07:27.6,AI 2018,55:12.2
2470,0,14069,9.64001E+14,36US01201412112B,,Female,00:00.0,,12112,0,14069,,0.09,0.32,161,09:27.1,,31:59.2
2471,0,OR0267,9.64001E+14,36US01201412112A,,Wether,00:00.0,,12112,0,OR                           267,,0.14,-0.33,102,21:25.1,,47:17.1
2473,0,OR0292,9.64001E+14,36US01201412115B,,Wether,00:00.0,110014,12115,0,OR                           292,,0.17,0.75,115,54:50.2,,47:18.2
2474,0,14022,9.64001E+14,36US01201412116A,,Female,00:00.0,,12116,0,14022,,0.05,0.12,159,26:03.9,7th BRD GRP,15:49.8
2476,0,14010,9.64001E+14,36US01201412117A,,Female,00:00.0,,12117,0,14010,,0.03,0.02,130,26:45.9,5th BRD GRP,36:44.8
2477,0,14116,9.64001E+14,36US01201412117B,,Female,00:00.0,,12117,0,14116,,0.05,0.38,147,08:23.2,1st BRD GRP,09:00.6
2478,0,14079,9.64001E+14,36US01201412117C,,Female,00:00.0,,12117,0,14079,,0.1,0.07,123,27:25.1,,15:36.2
2479,0,15055,9.64001E+14,36US01201412118B,,Female,00:00.0,10LYNX,12118,0,15055,,0.13,0,113,33:15.3,,24:02.6
2480,0,OR0347,9.64001E+14,36US01201412118A,,Wether,00:00.0,10LYNX,12118,0,OR                           347,,0.21,0.29,124,42:51.0,,47:20.6
2481,0,14061,9.64001E+14,36US01201412119A,,Female,00:00.0,110014,12119,0,14061,,0.04,-0.02,124,17:19.5,,30:03.3
2483,0,OR0275,9.64001E+14,36US01201412119B,,Wether,00:00.0,110014,12119,0,OR                           275,,0.15,0.25,114,53:46.7,,47:17.4
2484,0,OR0328,9.64001E+14,36US01201412121A,,Wether,00:00.0,11CAPR,12121,0,OR                           328,,0.16,1,113,56:24.8,,47:19.8
2485,0,OR0323,9.64001E+14,36US01201412121B,,Wether,00:00.0,11CAPR,12121,0,OR                           323,,0.15,0.25,115,52:11.1,,47:19.6
2491,0,11031,9.64001E+14,36US012012012050,,Female,00:00.0,,,0,11031,,-0.02,0.47,117,23:15.6,,40:57.2
2492,0,9015,9.64001E+14,36US012008009015,,Female,00:00.0,,BRCM02,0,9015,,-0.01,0.1,154,35:13.4,,42:13.3
2493,0,9014,9.64001E+14,36US012009009014,,Female,00:00.0,,,0,9014,,-0.03,-0.04,165,51:53.8,,30:02.3
2495,0,12055,9.64001E+14,36US012012012055,,Female,00:00.0,,BRCM02,0,12055,,0.01,-0.31,131,03:55.4,20th BRD GRP,53:47.9
2496,0,12056,9.64001E+14,36US012012012056,,Female,00:00.0,,ORST03,0,12056,,-0.02,-0.09,124,19:12.5,,53:32.6
2497,0,12057,9.64001E+14,36US012012012057,,Female,00:00.0,,,0,12057,,-0.02,-0.1,87.4,43:25.2,,52:16.0
2498,0,12058,9.64001E+14,36US012012012058,,Female,00:00.0,,WAST02,0,12058,,0,0.13,145,26:19.0,10th BRD GRP,51:23.8
2499,0,12060,9.64001E+14,36US012012012060,,Female,00:00.0,,WAST02,0,12060,,0.04,-0.14,130,23:45.4,,50:58.9
2500,0,12061,9.64001E+14,36US012012012061,,Female,00:00.0,,ORST03,0,12061,,-0.01,-0.06,120,21:04.7,,46:06.7
2501,0,12062,9.64001E+14,36US012012012062,,Female,00:00.0,,ORST02,0,12062,,-0.01,-0.06,138,48:48.3,,50:37.1
2502,0,12063,9.64001E+14,36US012012012063,,Female,00:00.0,,BRCM02,0,12063,,-0.01,0.23,126,17:01.7,,50:03.5
2503,0,12064,9.64001E+14,36US012012012064,,Female,00:00.0,,WAST03,0,12064,,-0.01,-0.15,136,51:33.9,,34:56.9
2504,0,12065,9.64001E+14,36US012012012065,,Female,00:00.0,,ORST02,0,12065,,0,0.06,128,20:52.7,,49:32.2
2505,0,11038,9.64001E+14,36US012012012066,,Female,00:00.0,,,0,11038,,-0.01,-0.06,95,49:16.2,4th BRD GRP,09:27.4
2506,0,12068,9.64001E+14,36US012012012068,,Female,00:00.0,,ORST02,0,12068,,0,0.31,126,22:28.4,,47:48.2
2507,0,9027,9.64001E+14,36US012012012069,,Female,00:00.0,,WA0386,0,9027,,-0.04,-0.07,165,31:31.6,,15:30.6
2508,0,12070,9.64001E+14,36US012012012070,,Female,00:00.0,,11041,0,12070,,-0.01,1,114,26:57.0,15th BRD GRP,19:01.3
2509,0,12071,9.64001E+14,36US012012012071,,Female,00:00.0,,11046,0,12071,,0,-0.04,113,34:13.4,9th BRD GRP,40:27.0
2511,0,12074,9.64001E+14,36US012012012074,,Female,00:00.0,,BRCM02,0,12074,,0,0.11,143,52:42.6,1st BRD GRP,06:40.9
2512,0,12075,9.64001E+14,36US012012012075,,Female,00:00.0,,WAST03,0,12075,,-0.02,0.04,154,53:01.9,,05:58.8
2513,0,12076,9.64001E+14,36US012012012076,,Female,00:00.0,,9018,0,12076,,0.01,0.49,151,12:44.8,8th BRD GRP,36:52.8
2514,0,12077,9.64001E+14,36US012012012077,,Female,00:00.0,,BRCM02,0,12077,,-0.01,-0.55,118,04:55.5,,05:14.3
2515,0,12078,9.64001E+14,36US012012012078,,Female,00:00.0,,7001,0,12078,,0.08,0.75,140,58:29.6,,04:08.4
2516,0,12120,9.64001E+14,36US012012012081,,Female,00:00.0,,BRCM02,0,12120,,-0.01,0,116,31:20.0,,44:21.2
2517,0,12083,9.64001E+14,36US012012012083,,Female,00:00.0,,BRCM02,0,12083,,-0.01,-0.07,109,55:00.9,,02:17.4
